"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2021年10月22日","6,685.0","6,658.0","6,767.0","6,631.0","2.30M","-0.10%"
"2021年10月21日","6,692.0","6,815.0","6,861.0","6,692.0","2.01M","-2.02%"
"2021年10月20日","6,830.0","6,751.0","6,908.0","6,750.0","3.71M","1.79%"
"2021年10月19日","6,710.0","6,728.0","6,753.0","6,680.0","1.78M","0.33%"
"2021年10月18日","6,688.0","6,670.0","6,725.0","6,650.0","1.86M","0.07%"
"2021年10月15日","6,683.0","6,637.0","6,729.0","6,618.0","2.93M","2.23%"
"2021年10月14日","6,537.0","6,454.0","6,549.0","6,454.0","1.78M","0.79%"
"2021年10月13日","6,486.0","6,544.0","6,566.0","6,486.0","2.06M","-0.66%"
"2021年10月12日","6,529.0","6,525.0","6,586.0","6,525.0","1.87M","-0.90%"
"2021年10月11日","6,588.0","6,386.0","6,589.0","6,357.0","3.46M","3.85%"
"2021年10月08日","6,344.0","6,350.0","6,430.0","6,329.0","2.91M","1.13%"
"2021年10月07日","6,273.0","6,293.0","6,366.0","6,251.0","2.85M","-1.06%"
"2021年10月06日","6,340.0","6,331.0","6,446.0","6,266.0","2.77M","0.25%"
"2021年10月05日","6,324.0","6,321.0","6,371.0","6,227.0","2.82M","-1.54%"
"2021年10月04日","6,423.0","6,537.0","6,559.0","6,351.0","2.70M","-0.59%"
"2021年10月01日","6,461.0","6,490.0","6,550.0","6,409.0","3.39M","-2.70%"
"2021年09月30日","6,640.0","6,578.0","6,689.0","6,541.0","3.64M","0.50%"
"2021年09月29日","6,607.0","6,790.0","6,790.0","6,551.0","5.27M","-4.70%"
"2021年09月28日","6,933.0","6,753.0","6,944.0","6,753.0","4.64M","1.36%"
"2021年09月27日","6,840.0","6,620.0","6,942.0","6,610.0","6.31M","4.75%"
"2021年09月24日","6,530.0","6,499.0","6,544.0","6,465.0","2.81M","3.32%"
"2021年09月22日","6,320.0","6,430.0","6,449.0","6,320.0","2.57M","-1.91%"
"2021年09月21日","6,443.0","6,381.0","6,492.0","6,381.0","2.64M","-2.36%"
"2021年09月17日","6,599.0","6,512.0","6,617.0","6,480.0","4.05M","0.83%"
"2021年09月16日","6,545.0","6,609.0","6,626.0","6,505.0","1.85M","-0.67%"
"2021年09月15日","6,589.0","6,597.0","6,632.0","6,571.0","2.29M","-1.61%"
"2021年09月14日","6,697.0","6,650.0","6,715.0","6,647.0","2.61M","0.93%"
"2021年09月13日","6,635.0","6,519.0","6,640.0","6,505.0","2.17M","1.04%"
"2021年09月10日","6,567.0","6,539.0","6,614.0","6,531.0","3.21M","0.21%"
"2021年09月09日","6,553.0","6,545.0","6,605.0","6,539.0","2.70M","-0.71%"
"2021年09月08日","6,600.0","6,500.0","6,619.0","6,491.0","3.78M","0.56%"
"2021年09月07日","6,563.0","6,630.0","6,662.0","6,529.0","3.27M","-0.67%"
"2021年09月06日","6,607.0","6,670.0","6,680.0","6,541.0","3.60M","1.66%"
"2021年09月03日","6,499.0","6,269.0","6,505.0","6,260.0","4.49M","4.77%"
